Title,Company,Location,Salary,Experience,Posted,Apply Link
Business Development Associate,Urban Company,Vadodara,"₹ 3,00,000₹ 3,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-business-development-associate-job-in-vadodara-at-urban-company1751514847
Graduate Trainee,Truhome Finance Limited,"Delhi,Gurgaon","₹ 3,00,000₹ 3,00,000 /year",0 year(s),2 weeks ago,https://internshala.com/job/detail/fresher-graduate-trainee-job-in-multiple-locations-at-truhome-finance-limited1750734161
Business Development Executive,Finmech Business Services Pvt Ltd,Navi Mumbai,"₹ 2,90,000 - 8,00,000₹ 2,90,000 - 8,00,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-business-development-executive-job-in-navi-mumbai-at-kevin-pinto1749886366
Graduate Trainee - Sales,Shriram Housing Finance Limited (SHFL),Jaipur,"₹ 2,90,000 - 3,00,000₹ 2,90,000 - 3,00,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-graduate-trainee-sales-job-in-jaipur-at-shriram-housing-finance-limited-shfl1750152365
Field Sales Executive,Varun Motors Private Limited,Vijayawada(Hybrid),"₹ 2,88,000 - 5,00,000₹ 2,88,000 - 5,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-field-sales-executive-job-in-vijayawada-at-varun-motors-private-limited1751105034
Customer Acquisition Associate,Decathlon Sports India  Private Limited,Wakad,"₹ 2,88,000 - 3,00,000₹ 2,88,000 - 3,00,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-customer-acquisition-associate-job-in-wakad-at-decathlon-sports-india-private-limited1750102278
Business Development Associate,Urban Company,Mumbai,"₹ 2,75,000 - 3,75,000₹ 2,75,000 - 3,75,000 /year",0 year(s),2 weeks ago,https://internshala.com/job/detail/fresher-business-development-associate-job-in-mumbai-at-hukumsingh-dobhal1750837152
Human Resources (HR) Associate,Antony Waste Handling Cell Limited,Thane,"₹ 2,60,000 - 2,90,000₹ 2,60,000 - 2,90,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-human-resources-hr-associate-job-in-thane-at-antony-waste-handling-cell-limited1749798637
Associate,Crane Consulting And Outsourcing,Bangalore,"₹ 2,56,000 - 4,60,000₹ 2,56,000 - 4,60,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-associate-job-in-bangalore-at-crane-consulting-and-outsourcing1750152930
Inside Sales Specialist,Toothsi,Mumbai,"₹ 2,52,000 - 3,60,000₹ 2,52,000 - 3,60,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-inside-sales-specialist-job-in-mumbai-at-toothsi1749623737
Sales Manager (Beauty Salons),Pradeep Kumar,Delhi(Hybrid),"₹ 2,50,000 - 7,00,000₹ 2,50,000 - 7,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-part-time-sales-manager-beauty-salons-job-in-delhi-at-pradeep-kumar1751101691
Junior Lead Generation Associate,JoulesToWatts Business Solutions Private Limited,Bangalore,"₹ 2,50,000 - 3,50,000₹ 2,50,000 - 3,50,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-junior-lead-generation-associate-job-in-bangalore-at-joulestowatts-business-solutions-private-limited1750302630
Business Development Associate,Urban Company,Chennai(Hybrid),"₹ 2,50,000 - 3,50,000₹ 2,50,000 - 3,50,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-business-development-associate-job-in-chennai-at-urban-company1750219030
Telesales Executive,InsuranceDekho,Gurgaon,"₹ 2,50,000 - 3,30,000₹ 2,50,000 - 3,30,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-telesales-executive-job-in-gurgaon-at-insurancedekho1750246007
Research Associate (IT Recruiter),Antal International,Chennai,"₹ 2,50,000 - 3,00,000₹ 2,50,000 - 3,00,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-research-associate-it-recruiter-job-in-chennai-at-antal-international1750323126
Field Sales Executive,Narayana Health,Bangalore,"₹ 2,50,000 - 3,00,000₹ 2,50,000 - 3,00,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-field-sales-executive-job-in-bangalore-at-narayana-health1749643797
Application Support Engineer L1,Avenue E-Commerce Limited,Mumbai,"₹ 2,45,000 - 2,89,000₹ 2,45,000 - 2,89,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-application-support-engineer-l1-job-in-mumbai-at-avenue-e-commerce-limited1751361644
Business Development Associate,Urban Company,Pune,"₹ 2,40,000 - 3,00,000₹ 2,40,000 - 3,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-business-development-associate-job-in-pune-at-urban-company1751018709
Customer Service Executive,Svatantra Micro Housing Finance Corporation,Ahmedabad,"₹ 2,40,000 - 3,00,000₹ 2,40,000 - 3,00,000 /year",1 year(s),2 weeks ago,https://internshala.com/job/detail/customer-service-executive-job-in-ahmedabad-at-svatantra-micro-housing-finance-corporation1750683208
Field Executive,Urban Company,Chennai(Hybrid),"₹ 2,40,000 - 3,00,000₹ 2,40,000 - 3,00,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-field-executive-job-in-chennai-at-urban-company1750392948
Business Development Associate,Urban Company,Pune,"₹ 2,40,000 - 3,00,000₹ 2,40,000 - 3,00,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-business-development-associate-job-in-pune-at-urban-company1749635571
E-commerce Sales Executive,603 The CoWorking Space India,"Mumbai,Bandra","₹ 2,40,000 - 2,65,000₹ 2,40,000 - 2,65,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/e-commerce-sales-executive-job-in-multiple-locations-at-603-the-coworking-space-india1749876890
Executive- Operations (BPO),FiveS Digital Private Limited,Udaipur,"₹ 2,40,000 - 2,50,000₹ 2,40,000 - 2,50,000 /year",0 year(s),2 weeks ago,https://internshala.com/job/detail/fresher-executive-operations-bpo-job-in-udaipur-at-fives-digital-private-limited1751002957
Coordinator,Dr. Reddys Limited,Hyderabad,"₹ 2,25,000 - 2,40,000₹ 2,25,000 - 2,40,000 /year",0 year(s),2 weeks ago,https://internshala.com/job/detail/fresher-coordinator-job-in-hyderabad-at-dr-reddys-limited1750413329
Accountant/Accounts Executive,Manubhai & Shah LLP,"Ahmedabad,Gandhinagar,Indore,Jamnagar,Rajkot,Surat,Udaipur,Vadodara","₹ 2,20,000₹ 2,20,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-accountant-accounts-executive-job-in-multiple-locations-at-manubhai-shah-llp1749710694
Recruiter,IMS Group,Ahmedabad,"₹ 2,16,000 - 3,60,000₹ 2,16,000 - 3,60,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-recruiter-job-in-ahmedabad-at-ims-group1751438854
Corporate Sales Executive,Pioneer,Noida,"₹ 2,10,000 - 3,00,000₹ 2,10,000 - 3,00,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/corporate-sales-executive-job-in-noida-at-pioneer1750312848
Junior Search Engine Optimization (SEO) Associate,CarWale,Navi Mumbai,"₹ 2,00,000 - 6,00,000₹ 2,00,000 - 6,00,000 /year",1 year(s),1 week ago,https://internshala.com/job/detail/junior-search-engine-optimization-seo-associate-job-in-navi-mumbai-at-carwale1751357778
Corporate Sales Associate,ABS Group,"Gurgaon,Rohtak","₹ 2,00,000 - 6,00,000₹ 2,00,000 - 6,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-corporate-sales-associate-job-in-multiple-locations-at-abs-group1751107071
Client Acquisition Associate,Globiva,Gurgaon,"₹ 2,00,000 - 5,50,000₹ 2,00,000 - 5,50,000 /year",1 year(s),2 weeks ago,https://internshala.com/job/detail/client-acquisition-associate-job-in-gurgaon-at-globiva1750944040
Recruiter/Sr. Recruiter,IMS Group,Ahmedabad,"₹ 2,00,000 - 4,00,000₹ 2,00,000 - 4,00,000 /year",1 year(s),1 week ago,https://internshala.com/job/detail/recruiter-sr-recruiter-job-in-ahmedabad-at-ims-group1751456251
UK Recruiter,IMS Group,Ahmedabad,"₹ 2,00,000 - 4,00,000₹ 2,00,000 - 4,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-uk-recruiter-job-in-ahmedabad-at-ims-group1751453297
Business Presentation Expert Executive,Krsnaa Diagnostics Limited,Pune,"₹ 2,00,000 - 4,00,000₹ 2,00,000 - 4,00,000 /year",1 year(s),1 week ago,https://internshala.com/job/detail/business-presentation-expert-executive-job-in-pune-at-krsnaa-diagnostics-limited1751114038
Customer Service Associate,IntouchCX,Bangalore,"₹ 2,00,000 - 4,00,000₹ 2,00,000 - 4,00,000 /year",1 year(s),2 weeks ago,https://internshala.com/job/detail/customer-service-associate-job-in-bangalore-at-intouchcx1750759614
Editorial Associate (Peer Review),KnowledgeWorks Global Limited,Mumbai,"₹ 2,00,000 - 4,00,000₹ 2,00,000 - 4,00,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-editorial-associate-peer-review-job-in-mumbai-at-knowledgeworks-global-limited1750404328
Business Development Associate,Urban Company,Mumbai,"₹ 2,00,000 - 3,60,000₹ 2,00,000 - 3,60,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-business-development-associate-job-in-mumbai-at-urban-company1750158551
Telecaller,Matrimony,Bangalore,"₹ 2,00,000 - 3,50,000₹ 2,00,000 - 3,50,000 /year",0 year(s),2 weeks ago,https://internshala.com/job/detail/fresher-telecaller-job-in-bangalore-at-matrimony1750856777
Junior Industrial And Production Engineer,Supreme Group,Sanand,"₹ 2,00,000 - 3,00,000₹ 2,00,000 - 3,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-junior-industrial-and-production-engineer-job-in-sanand-at-supreme-group1751473645
Patent Analyst,SagaciousElevate,Nagpur,"₹ 2,00,000 - 3,00,000₹ 2,00,000 - 3,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-patent-analyst-job-in-nagpur-at-sagaciouselevate1751335461
Digital Marketing Executive,Om Books International,"Delhi,Noida","₹ 2,00,000 - 3,00,000₹ 2,00,000 - 3,00,000 /year",1 year(s),2 weeks ago,https://internshala.com/job/detail/digital-marketing-executive-job-in-multiple-locations-at-om-books-international1750422067
Graphic Designer,Gehnay,Noida,"₹ 2,00,000 - 3,00,000₹ 2,00,000 - 3,00,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/graphic-designer-job-in-noida-at-gehnay1750250179
Electronics Engineer,ILux Electricals,Thane(Hybrid),"₹ 2,00,000 - 3,00,000₹ 2,00,000 - 3,00,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/electronics-engineer-job-in-thane-at-ilux-electricals1749711361
Patient Coordination,Lupin Digital Health,Mumbai,"₹ 2,00,000 - 2,80,001₹ 2,00,000 - 2,80,001 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-patient-coordination-job-in-mumbai-at-lupin-digital-health1751281001
Accountant,Megasoft Enterprises,"Delhi,Gurgaon","₹ 2,00,000 - 2,70,000₹ 2,00,000 - 2,70,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-accountant-job-in-multiple-locations-at-vipin-kumar1751214838
Sales Support,Constantia Flexibles,Mumbai,"₹ 2,00,000 - 2,50,000₹ 2,00,000 - 2,50,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-sales-support-job-in-mumbai-at-constantia-flexibles1750042684
Car Sales Executive,MG Motor Saraswati Unicorp LLP,Jalgaon,"₹ 2,00,000 - 2,46,000₹ 2,00,000 - 2,46,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/car-sales-executive-job-in-jalgaon-at-mg-motor-saraswati-unicorp-llp1750219555
Human Resources (HR) Associate,KV Human Resource Service PVT LTD,Delhi,"₹ 2,00,000 - 2,10,000₹ 2,00,000 - 2,10,000 /year",0 year(s),2 weeks ago,https://internshala.com/job/detail/fresher-human-resources-hr-associate-job-in-delhi-at-kv-human-resource-service-pvt-ltd1750736576
